,pagecount_desktop_views,pagecount_mobile_views,pageview_desktop_views,year,month,pageview_mobile_views,pageview_all_views,pagecount_all_views
200712,2998331524.0,0.0,0.0,2007,12,0.0,0.0,2998331524.0
200801,4930902570.0,0.0,0.0,2008,01,0.0,0.0,4930902570.0
200802,4818393763.0,0.0,0.0,2008,02,0.0,0.0,4818393763.0
200803,4955405809.0,0.0,0.0,2008,03,0.0,0.0,4955405809.0
200804,5159162183.0,0.0,0.0,2008,04,0.0,0.0,5159162183.0
200805,5584691092.0,0.0,0.0,2008,05,0.0,0.0,5584691092.0
200806,5712104279.0,0.0,0.0,2008,06,0.0,0.0,5712104279.0
200807,5306302874.0,0.0,0.0,2008,07,0.0,0.0,5306302874.0
200808,5140155519.0,0.0,0.0,2008,08,0.0,0.0,5140155519.0
200809,5479533823.0,0.0,0.0,2008,09,0.0,0.0,5479533823.0
200810,5679440782.0,0.0,0.0,2008,10,0.0,0.0,5679440782.0
200811,5415832071.0,0.0,0.0,2008,11,0.0,0.0,5415832071.0
200812,5211708451.0,0.0,0.0,2008,12,0.0,0.0,5211708451.0
200901,5802681551.0,0.0,0.0,2009,01,0.0,0.0,5802681551.0
200902,5547320860.0,0.0,0.0,2009,02,0.0,0.0,5547320860.0
200903,6295159057.0,0.0,0.0,2009,03,0.0,0.0,6295159057.0
200904,5988817321.0,0.0,0.0,2009,04,0.0,0.0,5988817321.0
200905,6267516733.0,0.0,0.0,2009,05,0.0,0.0,6267516733.0
200906,5818924182.0,0.0,0.0,2009,06,0.0,0.0,5818924182.0
200907,5801646978.0,0.0,0.0,2009,07,0.0,0.0,5801646978.0
200908,5790850384.0,0.0,0.0,2009,08,0.0,0.0,5790850384.0
200909,4057515768.0,0.0,0.0,2009,09,0.0,0.0,4057515768.0
200910,6016107147.0,0.0,0.0,2009,10,0.0,0.0,6016107147.0
200911,5768486910.0,0.0,0.0,2009,11,0.0,0.0,5768486910.0
200912,5426505977.0,0.0,0.0,2009,12,0.0,0.0,5426505977.0
201001,5703465285.0,0.0,0.0,2010,01,0.0,0.0,5703465285.0
201002,5762451418.0,0.0,0.0,2010,02,0.0,0.0,5762451418.0
201003,6661347946.0,0.0,0.0,2010,03,0.0,0.0,6661347946.0
201004,6618552152.0,0.0,0.0,2010,04,0.0,0.0,6618552152.0
201005,6410578775.0,0.0,0.0,2010,05,0.0,0.0,6410578775.0
201006,4898035014.0,0.0,0.0,2010,06,0.0,0.0,4898035014.0
201007,5296177638.0,0.0,0.0,2010,07,0.0,0.0,5296177638.0
201008,7381346660.0,0.0,0.0,2010,08,0.0,0.0,7381346660.0
201009,7546488744.0,0.0,0.0,2010,09,0.0,0.0,7546488744.0
201010,10172844562.0,0.0,0.0,2010,10,0.0,0.0,10172844562.0
201011,6948678354.0,0.0,0.0,2010,11,0.0,0.0,6948678354.0
201012,7001952100.0,0.0,0.0,2010,12,0.0,0.0,7001952100.0
